id_time,n_flows,n_packets,n_bytes,sum_n_dest_asn,average_n_dest_asn,std_n_dest_asn,sum_n_dest_ports,average_n_dest_ports,std_n_dest_ports,sum_n_dest_ip,average_n_dest_ip,std_n_dest_ip,tcp_udp_ratio_packets,tcp_udp_ratio_bytes,dir_ratio_packets,dir_ratio_bytes,avg_duration,avg_ttl
51,9,19,1464,5,2.5,0.71,4,2.0,0.0,9,4.5,3.54,0.53,0.52,0.42,0.42,3.68,139.68
52,13,23,1580,7,3.5,3.54,6,3.0,2.83,12,6.0,7.07,0.64,0.58,0.42,0.4,2.39,195.38
53,11,17,1100,8,4.0,0.0,8,4.0,0.0,11,5.5,0.71,0.48,0.32,0.47,0.4,1.7,143.2
54,17,24,1345,12,6.0,1.41,12,6.0,1.41,16,8.0,1.41,0.66,0.54,0.3,0.24,1.67,122.68
55,8,13,872,4,2.0,1.41,4,2.0,1.41,7,3.5,3.54,0.6,0.56,0.22,0.19,2.21,171.57
57,21,40,2744,9,4.5,2.12,9,4.5,2.12,17,8.5,7.78,0.62,0.56,0.46,0.48,4.93,198.89
58,10,16,956,7,3.5,0.71,7,3.5,0.71,10,5.0,2.83,0.65,0.58,0.34,0.32,1.3,168.78
59,8,10,477,6,3.0,1.41,6,3.0,1.41,7,3.5,2.12,0.62,0.58,0.56,0.59,0.0,234.08
60,13,18,1340,7,3.5,0.71,6,3.0,0.0,12,6.0,1.41,0.25,0.15,0.58,0.56,0.74,167.49
61,9,18,1208,6,3.0,1.41,6,3.0,1.41,9,4.5,3.54,0.66,0.59,0.44,0.44,4.12,206.4
62,8,11,496,7,3.5,0.71,8,4.0,1.41,8,4.0,1.41,0.93,0.87,0.32,0.3,0.0,175.56
63,5,6,240,5,2.5,0.71,5,2.5,0.71,5,2.5,0.71,1.0,1.0,0.75,0.75,0.0,253.83
65,6,6,244,6,3.0,1.41,6,3.0,1.41,6,3.0,1.41,1.0,1.0,0.38,0.37,0.0,226.75
67,10,20,808,9,4.5,0.71,10,5.0,0.0,10,5.0,0.0,1.0,1.0,0.44,0.44,0.02,210.2
68,9,14,736,7,3.5,2.12,8,4.0,2.83,8,4.0,2.83,0.7,0.52,0.52,0.52,2.1,187.18
70,9,12,552,8,4.0,4.24,9,4.5,4.95,9,4.5,4.95,0.4,0.33,0.45,0.46,0.01,139.44
72,8,13,700,7,3.5,0.71,8,4.0,0.0,8,4.0,0.0,0.69,0.52,0.31,0.3,2.94,145.0
74,7,9,540,6,3.0,1.41,6,3.0,1.41,7,3.5,2.12,0.72,0.64,0.93,0.95,1.17,253.9
75,9,11,608,7,3.5,0.71,8,4.0,1.41,9,4.5,2.12,0.78,0.71,0.27,0.2,0.4,116.25
76,3,4,180,3,1.5,0.71,3,1.5,0.71,3,1.5,0.71,1.0,1.0,0.84,0.78,0.0,203.75
77,8,14,700,8,4.0,1.41,8,4.0,1.41,8,4.0,1.41,0.75,0.66,0.54,0.56,3.7,230.8
78,7,9,352,5,2.5,0.71,6,3.0,1.41,6,3.0,1.41,0.86,0.88,0.46,0.45,0.0,212.35
79,9,13,532,7,3.5,0.71,8,4.0,0.0,8,4.0,0.0,1.0,1.0,0.38,0.37,0.02,232.3
82,9,11,576,8,4.0,0.0,8,4.0,0.0,9,4.5,0.71,0.78,0.7,0.53,0.6,4.08,252.42
84,8,12,544,8,4.0,0.0,8,4.0,0.0,8,4.0,0.0,0.83,0.76,0.37,0.4,0.01,199.25
85,17,31,1876,9,4.5,2.12,9,4.5,0.71,17,8.5,6.36,0.57,0.52,0.15,0.14,3.21,160.25
86,14,19,1028,9,4.5,0.71,9,4.5,0.71,11,5.5,2.12,0.75,0.66,0.3,0.26,2.62,171.67
88,9,13,832,8,4.0,1.41,7,3.5,0.71,9,4.5,0.71,0.45,0.29,0.52,0.5,0.17,162.48
89,9,16,780,9,4.5,0.71,9,4.5,0.71,9,4.5,0.71,0.84,0.75,0.24,0.19,3.43,145.28
90,11,14,780,10,5.0,0.0,10,5.0,0.0,11,5.5,0.71,0.66,0.51,0.78,0.77,0.12,214.25
93,8,17,816,7,3.5,0.71,7,3.5,0.71,7,3.5,0.71,0.83,0.7,0.64,0.63,22.72,195.2
94,9,15,912,7,3.5,2.12,7,3.5,2.12,8,4.0,1.41,0.52,0.38,0.8,0.86,4.65,220.42
95,12,21,1246,9,4.5,2.12,9,4.5,2.12,12,6.0,4.24,0.52,0.34,0.65,0.7,7.92,184.56
96,12,18,1160,6,3.0,0.0,6,3.0,0.0,11,5.5,3.54,0.58,0.55,0.45,0.48,1.9,187.0
97,10,15,776,8,4.0,4.24,8,4.0,4.24,8,4.0,4.24,0.86,0.77,0.64,0.64,0.28,216.61
98,10,22,1496,5,2.5,2.12,7,3.5,3.54,10,5.0,5.66,0.2,0.12,0.57,0.64,3.89,129.61
99,5,8,364,5,2.5,0.71,5,2.5,0.71,5,2.5,0.71,0.9,0.83,0.57,0.5,0.38,215.25
100,5,6,240,5,2.5,0.71,5,2.5,0.71,5,2.5,0.71,1.0,1.0,0.5,0.5,0.0,252.33
101,9,14,1218,7,3.5,0.71,7,3.5,0.71,9,4.5,0.71,0.57,0.23,0.35,0.2,4.23,160.5
102,10,15,872,9,4.5,0.71,8,4.0,0.0,10,5.0,1.41,0.66,0.6,0.42,0.42,3.48,174.54
103,15,33,2040,12,6.0,1.41,12,6.0,1.41,14,7.0,1.41,0.5,0.34,0.48,0.47,5.35,144.36
104,7,9,364,5,2.5,0.71,6,3.0,1.41,6,3.0,1.41,1.0,1.0,0.58,0.58,0.0,252.6
106,11,20,1296,8,4.0,0.0,8,4.0,0.0,11,5.5,2.12,0.66,0.59,0.56,0.57,5.98,195.1
107,11,19,1164,7,3.5,0.71,8,4.0,0.0,10,5.0,1.41,0.6,0.47,0.2,0.21,3.68,177.14
110,12,16,687,11,5.5,3.54,12,6.0,4.24,11,5.5,3.54,0.89,0.86,0.36,0.4,0.05,195.5
111,10,19,1184,7,3.5,2.12,7,3.5,0.71,10,5.0,2.83,0.6,0.56,0.49,0.51,3.69,224.31
112,14,24,1604,9,4.5,0.71,9,4.5,0.71,13,6.5,0.71,0.42,0.27,0.62,0.65,6.32,163.5
113,6,15,1040,5,2.5,0.71,5,2.5,0.71,6,3.0,1.41,0.4,0.24,0.56,0.66,6.54,224.75
114,13,22,1412,5,2.5,0.71,6,3.0,1.41,10,5.0,4.24,0.5,0.34,0.3,0.31,1.38,183.76
116,8,12,552,6,3.0,2.83,6,3.0,2.83,6,3.0,2.83,0.4,0.42,0.45,0.45,0.0,126.72
117,8,17,992,7,3.5,3.54,7,3.5,3.54,8,4.0,4.24,0.38,0.31,0.4,0.37,12.0,84.43
119,5,6,336,4,2.0,1.41,4,2.0,1.41,4,2.0,1.41,0.8,0.72,0.6,0.57,1.37,225.38
120,4,4,204,4,2.0,1.41,4,2.0,1.41,4,2.0,1.41,0.84,0.74,0.84,0.88,0.0,253.0
121,5,8,372,5,2.5,2.12,5,2.5,2.12,5,2.5,2.12,0.93,0.88,0.64,0.62,0.05,224.75
122,6,8,412,4,2.0,1.41,5,2.5,2.12,6,3.0,2.83,0.84,0.74,0.42,0.36,0.0,143.0
123,14,24,1580,8,4.0,1.41,8,4.0,0.0,14,7.0,4.24,0.63,0.57,0.31,0.31,2.99,198.45
124,11,18,1178,9,4.5,2.12,8,4.0,1.41,10,5.0,2.83,0.6,0.56,0.34,0.35,6.5,210.64
127,10,12,488,8,4.0,1.41,10,5.0,1.41,10,5.0,1.41,0.84,0.87,0.5,0.48,0.0,203.88
129,8,9,492,6,3.0,1.41,7,3.5,2.12,7,3.5,2.12,0.6,0.43,0.46,0.57,0.0,235.0
131,9,12,564,7,3.5,2.12,7,3.5,2.12,7,3.5,2.12,0.56,0.5,0.33,0.34,0.0,153.93
132,10,15,608,10,5.0,1.41,10,5.0,1.41,10,5.0,1.41,1.0,1.0,0.46,0.45,0.01,209.79
134,8,10,516,7,3.5,3.54,5,2.5,2.12,8,4.0,4.24,0.66,0.63,0.72,0.75,1.4,209.43
135,11,13,576,10,5.0,1.41,11,5.5,2.12,11,5.5,2.12,0.94,0.88,0.22,0.21,0.03,235.36
136,10,11,535,9,4.5,0.71,9,4.5,0.71,9,4.5,0.71,0.64,0.56,0.35,0.34,0.0,188.9
137,10,15,612,9,4.5,0.71,10,5.0,0.0,10,5.0,0.0,1.0,1.0,0.33,0.32,0.02,220.2
138,24,34,1789,14,7.0,0.0,14,7.0,1.41,19,9.5,2.12,0.7,0.61,0.36,0.35,0.66,188.02
140,12,19,1090,8,4.0,1.41,7,3.5,0.71,11,5.5,3.54,0.55,0.5,0.55,0.57,0.96,212.75
142,10,18,790,9,4.5,2.12,9,4.5,2.12,9,4.5,2.12,0.77,0.7,0.43,0.47,0.08,214.72
145,6,8,324,6,3.0,1.41,6,3.0,1.41,6,3.0,1.41,1.0,1.0,0.5,0.49,0.04,251.88
146,7,10,412,6,3.0,1.41,7,3.5,0.71,7,3.5,0.71,1.0,1.0,0.21,0.2,0.03,250.67
147,7,10,408,7,3.5,0.71,7,3.5,0.71,7,3.5,0.71,1.0,1.0,0.38,0.37,0.0,192.0
148,14,17,884,10,5.0,0.0,12,6.0,1.41,13,6.5,0.71,0.75,0.66,0.42,0.4,0.0,196.86
149,10,12,592,7,3.5,0.71,9,4.5,0.71,9,4.5,0.71,0.84,0.76,0.25,0.26,0.0,207.9
150,13,17,905,10,5.0,4.24,10,5.0,2.83,11,5.5,3.54,0.78,0.7,0.26,0.3,0.89,238.56
152,13,16,916,8,4.0,0.0,10,5.0,0.0,13,6.5,2.12,0.7,0.62,0.36,0.34,2.88,211.44
153,17,29,1700,13,6.5,3.54,12,6.0,2.83,16,8.0,5.66,0.74,0.66,0.24,0.23,3.58,179.02
157,9,13,513,8,4.0,1.41,9,4.5,2.12,9,4.5,2.12,0.88,0.9,0.29,0.3,0.02,218.08
158,12,16,788,9,4.5,2.12,9,4.5,2.12,10,5.0,2.83,0.86,0.78,0.43,0.44,0.04,238.12
159,16,24,1067,15,7.5,2.12,13,6.5,0.71,15,7.5,2.12,0.66,0.62,0.36,0.34,0.19,188.44
160,9,15,656,7,3.5,0.71,8,4.0,1.41,8,4.0,1.41,0.94,0.9,0.42,0.44,0.02,206.83
161,10,12,592,6,3.0,0.0,7,3.5,0.71,7,3.5,0.71,0.88,0.8,0.25,0.26,0.0,235.14
162,10,17,780,8,4.0,4.24,8,4.0,4.24,9,4.5,4.95,0.81,0.78,0.69,0.69,0.18,228.94
163,9,12,504,8,4.0,1.41,9,4.5,2.12,9,4.5,2.12,1.0,1.0,0.38,0.36,0.06,234.0
165,8,11,456,8,4.0,1.41,8,4.0,1.41,8,4.0,1.41,1.0,1.0,0.36,0.35,0.0,195.14
166,12,19,964,10,5.0,2.83,11,5.5,2.12,11,5.5,2.12,0.92,0.73,0.32,0.22,0.03,238.12
167,9,12,576,7,3.5,0.71,7,3.5,0.71,8,4.0,1.41,0.88,0.8,0.25,0.27,0.01,182.33
168,16,20,1040,12,6.0,0.0,12,6.0,0.0,16,8.0,1.41,0.75,0.66,0.25,0.22,0.06,191.71
169,11,14,636,9,4.5,3.54,8,4.0,1.41,10,5.0,2.83,0.78,0.74,0.36,0.34,1.1,209.1
170,4,6,317,4,2.0,0.0,4,2.0,0.0,4,2.0,0.0,0.5,0.5,0.5,0.55,0.0,98.0
171,5,5,244,5,2.5,0.71,5,2.5,0.71,5,2.5,0.71,0.84,0.74,0.66,0.62,0.0,215.67
172,5,9,448,5,2.5,0.71,5,2.5,0.71,5,2.5,0.71,0.35,0.26,0.35,0.35,0.75,168.67
173,9,18,1552,8,4.0,0.0,7,3.5,0.71,9,4.5,0.71,0.54,0.58,0.45,0.34,1.84,103.92
174,8,13,916,4,2.0,0.0,3,1.5,0.71,8,4.0,2.83,0.5,0.5,0.53,0.53,4.3,197.75
175,6,10,448,5,2.5,0.71,6,3.0,1.41,6,3.0,1.41,0.9,0.83,0.5,0.53,0.02,199.5
176,10,15,816,9,4.5,2.12,9,4.5,2.12,10,5.0,1.41,0.7,0.56,0.35,0.3,0.0,112.12
177,9,12,616,8,4.0,1.41,8,4.0,1.41,9,4.5,0.71,0.75,0.66,0.42,0.36,2.88,153.1
179,8,19,852,7,3.5,0.71,8,4.0,1.41,8,4.0,1.41,0.93,0.87,0.42,0.42,0.08,206.36
180,9,12,840,6,3.0,1.41,5,2.5,2.12,8,4.0,0.0,0.4,0.34,0.63,0.68,3.12,206.12
181,12,17,992,9,4.5,2.12,8,4.0,1.41,12,6.0,4.24,0.71,0.62,0.36,0.32,1.54,171.22
182,11,18,900,9,4.5,0.71,11,5.5,0.71,11,5.5,0.71,0.78,0.69,0.39,0.38,1.12,190.74
183,9,14,736,8,4.0,0.0,9,4.5,0.71,9,4.5,0.71,0.69,0.52,0.72,0.73,0.76,230.6
184,7,10,480,7,3.5,0.71,7,3.5,0.71,7,3.5,0.71,0.69,0.62,0.48,0.52,0.06,223.33
187,4,5,208,4,2.0,0.0,4,2.0,0.0,4,2.0,0.0,1.0,1.0,0.58,0.56,0.0,218.25
188,6,8,460,6,3.0,1.41,6,3.0,1.41,6,3.0,1.41,0.58,0.42,0.42,0.52,0.01,147.12
189,8,10,452,7,3.5,0.71,8,4.0,0.0,7,3.5,0.71,0.92,0.86,0.46,0.44,0.0,224.5
190,7,9,372,7,3.5,2.12,7,3.5,2.12,7,3.5,2.12,1.0,1.0,0.72,0.7,0.0,219.4
191,6,7,328,6,3.0,0.0,6,3.0,0.0,6,3.0,0.0,0.88,0.8,0.29,0.26,0.01,181.33
194,16,25,1895,9,4.5,2.12,10,5.0,2.83,15,7.5,6.36,0.44,0.33,0.6,0.53,4.53,206.79
195,4,6,288,4,2.0,1.41,4,2.0,1.41,4,2.0,1.41,0.84,0.75,0.5,0.54,0.03,250.17
196,5,9,404,4,2.0,0.0,5,2.5,0.71,5,2.5,0.71,0.92,0.85,0.33,0.38,0.02,201.67
197,6,12,628,6,3.0,2.83,6,3.0,2.83,6,3.0,2.83,0.86,0.78,0.72,0.78,0.3,211.7
198,8,8,332,8,4.0,1.41,8,4.0,1.41,8,4.0,1.41,1.0,1.0,0.44,0.42,0.0,212.3
199,10,14,656,10,5.0,1.41,10,5.0,1.41,10,5.0,1.41,0.9,0.82,0.48,0.46,0.0,216.21
200,3,4,160,3,1.5,0.71,3,1.5,0.71,3,1.5,0.71,1.0,1.0,0.66,0.66,0.01,253.25
201,6,11,572,6,3.0,1.41,6,3.0,1.41,6,3.0,1.41,0.62,0.56,0.55,0.61,4.75,251.62
202,9,20,1496,5,2.5,0.71,4,2.0,1.41,7,3.5,0.71,0.38,0.3,0.78,0.82,7.03,166.75
203,11,21,1356,7,3.5,0.71,6,3.0,1.41,11,5.5,2.12,0.42,0.41,0.34,0.32,3.43,149.1
206,5,10,440,5,2.5,0.71,5,2.5,0.71,5,2.5,0.71,1.0,1.0,0.29,0.27,0.18,166.33
207,10,17,1092,6,3.0,0.0,7,3.5,0.71,10,5.0,1.41,0.62,0.57,0.55,0.55,5.03,174.25
208,7,12,920,4,2.0,0.0,4,2.0,0.0,7,3.5,2.12,0.17,0.09,0.32,0.24,6.54,133.4
209,7,12,1156,7,3.5,0.71,7,3.5,0.71,7,3.5,0.71,0.58,0.26,0.25,0.11,1.97,164.12
211,8,9,412,7,3.5,0.71,8,4.0,0.0,8,4.0,0.0,0.88,0.8,0.57,0.59,0.0,202.62
212,7,12,569,6,3.0,2.83,7,3.5,3.54,7,3.5,3.54,0.94,0.86,0.72,0.68,0.55,207.83
213,11,12,497,10,5.0,1.41,10,5.0,1.41,10,5.0,1.41,0.82,0.8,0.38,0.36,0.0,227.25
215,11,11,582,5,2.5,0.71,5,2.5,0.71,5,2.5,0.71,0.18,0.14,0.18,0.14,0.0,226.94
216,4,6,300,4,2.0,1.41,3,1.5,0.71,4,2.0,1.41,0.1,0.08,0.8,0.78,0.0,182.0
218,5,8,324,5,2.5,0.71,5,2.5,0.71,5,2.5,0.71,1.0,1.0,0.66,0.66,0.01,216.0
219,12,25,1432,7,3.5,0.71,7,3.5,0.71,10,5.0,1.41,0.64,0.59,0.54,0.56,5.2,185.94
220,6,7,500,4,2.0,0.0,3,1.5,0.71,5,2.5,0.71,0.5,0.5,0.6,0.6,4.9,172.25
221,6,9,364,6,3.0,1.41,6,3.0,1.41,6,3.0,1.41,1.0,1.0,0.42,0.42,0.01,227.25
223,13,17,696,11,5.5,0.71,13,6.5,0.71,13,6.5,0.71,1.0,1.0,0.42,0.4,0.0,234.78
224,5,7,784,5,2.5,0.71,5,2.5,0.71,5,2.5,0.71,0.88,0.6,0.42,0.22,0.02,216.75
225,10,13,520,8,4.0,0.0,9,4.5,0.71,9,4.5,0.71,1.0,1.0,0.53,0.53,0.0,251.6
227,12,15,752,8,4.0,2.83,10,5.0,1.41,9,4.5,2.12,0.69,0.66,0.52,0.46,0.0,136.5
228,8,12,524,6,3.0,0.0,7,3.5,0.71,7,3.5,0.71,0.84,0.74,0.5,0.41,0.02,215.54
229,13,21,1204,9,4.5,0.71,10,5.0,1.41,13,6.5,3.54,0.74,0.65,0.58,0.62,2.36,228.24
230,9,12,616,7,3.5,2.12,8,4.0,2.83,9,4.5,3.54,0.85,0.76,0.65,0.66,0.05,207.64
232,5,9,384,5,2.5,0.71,5,2.5,0.71,5,2.5,0.71,1.0,1.0,0.46,0.41,0.03,147.42
233,6,11,604,5,2.5,2.12,5,2.5,2.12,6,3.0,2.83,0.7,0.64,0.7,0.72,0.16,191.5
235,7,10,400,6,3.0,1.41,7,3.5,0.71,7,3.5,0.71,1.0,1.0,0.42,0.42,0.02,250.92
236,11,17,1036,8,4.0,4.24,8,4.0,4.24,11,5.5,6.36,0.74,0.65,0.45,0.42,1.28,200.15
237,13,17,997,8,4.0,1.41,10,5.0,2.83,13,6.5,4.95,0.73,0.65,0.36,0.34,2.44,219.54
238,13,18,900,10,5.0,1.41,11,5.5,2.12,12,6.0,2.83,0.84,0.76,0.47,0.46,0.02,227.64
239,11,19,1112,9,4.5,0.71,9,4.5,0.71,11,5.5,0.71,0.64,0.5,0.52,0.51,1.95,193.56
240,16,29,1988,9,4.5,2.12,7,3.5,0.71,16,8.0,2.83,0.38,0.28,0.5,0.52,3.29,146.8
241,18,26,1575,10,5.0,4.24,11,5.5,4.95,16,8.0,8.49,0.7,0.63,0.42,0.44,1.93,156.53
242,13,22,1592,6,3.0,1.41,7,3.5,2.12,13,6.5,0.71,0.4,0.28,0.37,0.41,8.77,153.04
243,9,19,1308,8,4.0,1.41,6,3.0,0.0,9,4.5,2.12,0.37,0.24,0.56,0.57,2.83,164.83
244,9,15,606,8,4.0,0.0,8,4.0,0.0,8,4.0,0.0,0.93,0.92,0.2,0.2,0.03,226.3
245,5,9,512,4,2.0,0.0,5,2.5,0.71,4,2.0,0.0,0.7,0.62,0.68,0.72,5.64,218.42
246,10,14,696,9,4.5,0.71,9,4.5,0.71,10,5.0,0.0,0.74,0.6,0.41,0.36,0.02,187.7
247,6,12,556,5,2.5,0.71,5,2.5,0.71,5,2.5,0.71,0.92,0.85,0.25,0.22,0.42,191.5
248,10,16,812,8,4.0,0.0,8,4.0,0.0,9,4.5,0.71,0.66,0.62,0.5,0.48,1.08,149.3
249,9,17,1032,8,4.0,1.41,8,4.0,1.41,9,4.5,2.12,0.72,0.63,0.58,0.58,1.45,200.25
250,11,19,1147,9,4.5,0.71,10,5.0,0.0,11,5.5,0.71,0.64,0.48,0.24,0.24,1.27,194.98
251,10,15,780,10,5.0,1.41,10,5.0,1.41,10,5.0,1.41,0.66,0.58,0.68,0.7,2.06,194.54
252,7,11,536,6,3.0,1.41,6,3.0,1.41,6,3.0,1.41,0.86,0.77,0.27,0.29,0.02,164.92
253,6,10,452,6,3.0,0.0,6,3.0,0.0,6,3.0,0.0,0.84,0.74,0.38,0.33,0.0,111.84
258,4,6,240,4,2.0,1.41,4,2.0,1.41,4,2.0,1.41,1.0,1.0,0.5,0.5,0.02,251.0
259,5,6,240,5,2.5,2.12,5,2.5,2.12,5,2.5,2.12,1.0,1.0,0.8,0.8,0.02,252.75
260,11,16,692,10,5.0,1.41,11,5.5,0.71,11,5.5,0.71,0.88,0.84,0.25,0.22,0.05,211.65
262,7,15,832,7,3.5,0.71,7,3.5,0.71,7,3.5,0.71,0.78,0.68,0.44,0.5,3.47,224.96
266,7,8,384,5,2.5,0.71,7,3.5,2.12,5,2.5,0.71,0.75,0.66,0.66,0.55,0.0,178.05
267,4,6,328,3,1.5,0.71,3,1.5,0.71,3,1.5,0.71,0.66,0.6,0.5,0.46,0.0,197.5
268,6,10,404,6,3.0,2.83,6,3.0,2.83,6,3.0,2.83,1.0,1.0,0.42,0.42,0.14,131.5
270,6,8,324,5,2.5,2.12,6,3.0,1.41,6,3.0,1.41,1.0,1.0,0.5,0.5,0.0,151.5
273,6,6,284,6,3.0,0.0,6,3.0,0.0,6,3.0,0.0,0.84,0.74,0.84,0.74,0.0,216.83
276,7,10,488,7,3.5,0.71,7,3.5,0.71,7,3.5,0.71,0.8,0.66,0.5,0.5,0.02,199.38
278,7,10,492,7,3.5,2.12,7,3.5,2.12,7,3.5,2.12,0.88,0.8,0.69,0.7,0.01,209.6
279,3,3,109,3,1.5,0.71,3,1.5,0.71,3,1.5,0.71,0.75,0.79,0.75,0.79,0.0,204.5
280,8,11,532,7,3.5,0.71,7,3.5,0.71,7,3.5,0.71,0.82,0.68,0.64,0.69,0.01,251.7
281,11,16,804,10,5.0,0.0,9,4.5,0.71,10,5.0,0.0,0.81,0.72,0.25,0.24,0.03,190.8
282,13,18,984,9,4.5,0.71,10,5.0,0.0,12,6.0,1.41,0.7,0.55,0.6,0.66,1.92,238.49
283,5,7,456,4,2.0,0.0,4,2.0,0.0,5,2.5,0.71,0.6,0.56,0.75,0.75,2.26,252.25
286,9,11,472,9,4.5,2.12,9,4.5,2.12,9,4.5,2.12,0.81,0.79,0.4,0.38,0.0,202.17
287,10,10,478,7,3.5,2.12,10,5.0,2.83,10,5.0,2.83,0.86,0.78,0.38,0.39,0.0,216.4
289,18,22,952,11,5.5,0.71,17,8.5,2.12,17,8.5,2.12,0.96,0.92,0.38,0.39,0.02,207.35
290,11,16,840,11,5.5,0.71,11,5.5,0.71,11,5.5,0.71,0.74,0.59,0.46,0.46,0.02,177.33
291,15,20,844,14,7.0,1.41,15,7.5,0.71,14,7.0,1.41,0.8,0.79,0.35,0.34,0.0,186.78
292,4,5,248,4,2.0,0.0,4,2.0,0.0,4,2.0,0.0,0.75,0.66,0.42,0.32,0.0,199.25
